	0	1	2	3	4	5
481					46326	Bán buôn đường, sữa và các sản phẩm sữa, bánh kẹo và các sản phẩm chế biến từ ngũ cốc, bột, tinh bột
482					46329	Bán buôn thực phẩm khác
483				4633		Bán buôn đồ uống
484					46331	Bán buôn đồ uống có cồn
485					46332	Bán buôn đồ uống không có cồn
486				4634	46340	Bán buôn sản phẩm thuốc lá, thuốc lào
487			464			Bán buôn đồ dùng gia đình
488				4641		Bán buôn vải, hàng may mặc, giày dép
489					46411	Bán buôn vải
490					46412	Bán buôn thảm, đệm, chăn, màn, rèm, ga trải giường, gối và hàng dệt khác
491					46413	Bán buôn hàng may mặc
492					46414	Bán buôn giày dép
493				4649		Bán buôn đồ dùng khác cho gia đình
494					46491	Bán buôn vali, cặp, túi, ví, hàng da và giả da khác
495					46492	Bán buôn dược phẩm và dụng cụ y tế
496					46493	Bán buôn nước hoa, hàng mỹ phẩm và chế phẩm vệ sinh
497					46494	Bán buôn hàng gốm, sứ, thủy tinh
498					46495	Bán buôn đồ điện gia dụng, đèn và bộ đèn điện
499					46496	Bán buôn giường, tủ, bàn ghế và đồ dùng nội thất tương tự
500					46497	Bán buôn sách, báo, tạp chí, văn phòng phẩm
501					46498	Bán buôn dụng cụ thể dục, thể thao
502					46499	Bán buôn đồ dùng khác cho gia đình chưa được phân vào đâu
503			465			Bán buôn máy móc, thiết bị và phụ tùng máy
504				4651	46510	Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm
505				4652	46520	Bán buôn thiết bị và linh kiện điện tử, viễn thông
506				4653	46530	Bán buôn máy móc, thiết bị và phụ tùng máy nông nghiệp
507				4659		Bán buôn máy móc, thiết bị và phụ tùng máy khác
508					46591	Bán buôn máy móc, thiết bị và phụ tùng máy khai khoáng, xây dựng
509					46592	Bán buôn máy móc, thiết bị điện, vật liệu điện (máy phát điện, động cơ điện, dây điện và thiết bị khác dùng trong mạch điện)
510					46593	Bán buôn máy móc, thiết bị và phụ tùng máy dệt, may, da giày
511					46594	Bán buôn máy móc, thiết bị và phụ tùng máy văn phòng (trừ máy vi tính và thiết bị ngoại vi)
512					46595	Bán buôn máy móc, thiết bị y tế
513					46599	Bán buôn máy móc, thiết bị và phụ tùng máy khác chưa được phân vào đâu
514			466			Bán buôn chuyên doanh khác
515				4661		Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan
516					46611	Bán buôn than đá và nhiên liệu rắn khác
517					46612	Bán buôn dầu thô
518					46613	Bán buôn xăng dầu và các sản phẩm liên quan
519					46614	Bán buôn khí đốt và các sản phẩm liên quan
520				4662		Bán buôn kim loại và quặng kim loại
521					46621	Bán buôn quặng kim loại
522					46622	Bán buôn sắt, thép
523					46623	Bán buôn kim loại khác
524					46624	Bán buôn vàng, bạc và kim loại quý khác
525				4663		Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng
526					46631	Bán buôn tre, nứa, gỗ cây và gỗ chế biến
527					46632	Bán buôn xi măng
528					46633	Bán buôn gạch xây, ngói, đá, cát, sỏi
529					46634	Bán buôn kính xây dựng
530					46635	Bán buôn sơn, vécni
531					46636	Bán buôn gạch ốp lát và thiết bị vệ sinh
532					46637	Bán buôn đồ ngũ kim
533					46639	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng
534				4669		Bán buôn chuyên doanh khác chưa được phân vào đâu
535					46691	Bán buôn phân bón, thuốc trừ sâu và hóa chất khác sử dụng trong nông nghiệp
536					46692	Bán buôn hóa chất khác (trừ loại sử dụng trong nông nghiệp)
537					46693	Bán buôn chất dẻo dạng nguyên sinh
538					46694	Bán buôn cao su
539					46695	Bán buôn tơ, xơ, sợi dệt
540					46696	Bán buôn phụ liệu may mặc và giày dép
541					46697	Bán buôn phế liệu, phế thải kim loại, phi kim loại
542					46699	Bán buôn chuyên doanh khác còn lại chưa được phân vào đâu
543			469	4690	46900	Bán buôn tổng hợp
544		47				Bán lẻ (trừ ô tô, mô tô, xe máy và xe có động cơ khác)
545			471			Bán lẻ trong các cửa hàng kinh doanh tổng hợp
546				4711		Bán lẻ lương thực, thực phẩm, đồ uống, thuốc lá, thuốc lào chiếm tỷ trọng lớn trong các cửa hàng kinh doanh tổng hợp
547					47111	Bán lẻ trong siêu thị (Supermarket)
548					47112	Bán lẻ trong cửa hàng tiện lợi (Minimarket)
549					47119	Bán lẻ trong cửa hàng kinh doanh tổng hợp khác
550				4719		Bán lẻ khác trong các cửa hàng kinh doanh tổng hợp
551					47191	Bán lẻ trong siêu thị (Supermarket)
552					47192	Bán lẻ trong cửa hàng tiện lợi (Minimarket)
553					47199	Bán lẻ trong cửa hàng kinh doanh tổng hợp khác
554			472			Bán lẻ lương thực, thực phẩm, đồ uống hoặc thuốc lá, thuốc lào trong các cửa hàng chuyên doanh
555				4721	47210	Bán lẻ lương thực trong các cửa hàng chuyên doanh
556				4722		Bán lẻ thực phẩm trong các cửa hàng chuyên doanh
557					47221	Bán lẻ thịt và các sản phẩm thịt trong các cửa hàng chuyên doanh
558					47222	Bán lẻ thủy sản trong các cửa hàng chuyên doanh
559					47223	Bán lẻ rau, quả trong các cửa hàng chuyên doanh
560					47224	Bán lẻ đường, sữa và các sản phẩm sữa, bánh, mứt, kẹo và các sản phẩm chế biến từ ngũ cốc, bột, tinh bột trong các cửa hàng chuyên doanh
561					47229	Bán lẻ thực phẩm khác trong các cửa hàng chuyên doanh
562				4723	47230	Bán lẻ đồ uống trong các cửa hàng chuyên doanh
563				4724	47240	Bán lẻ sản phẩm thuốc lá, thuốc lào trong các cửa hàng chuyên doanh
564			473	4730	47300	Bán lẻ nhiên liệu động cơ trong các cửa hàng chuyên doanh
565			474			Bán lẻ thiết bị công nghệ thông tin liên lạc trong các cửa hàng chuyên doanh
566				4741		Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong các cửa hàng chuyên doanh
567					47411	Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm trong các cửa hàng chuyên doanh
568					47412	Bán lẻ thiết bị viễn thông trong các cửa hàng chuyên doanh
569				4742	47420	Bán lẻ thiết bị nghe nhìn trong các cửa hàng chuyên doanh
570			475			Bán lẻ thiết bị gia đình khác trong các cửa hàng chuyên doanh
571				4751		Bán lẻ vải, len, sợi, chỉ khâu và hàng dệt khác trong các cửa hàng chuyên doanh
572					47511	Bán lẻ vải trong các cửa hàng chuyên doanh
573					47519	Bán lẻ len, sợi, chỉ khâu và hàng dệt khác trong các cửa hàng chuyên doanh
574				4752		Bán lẻ đồ ngũ kim, sơn, kính và thiết bị lắp đặt khác trong xây dựng trong các cửa hàng chuyên doanh
575					47521	Bán lẻ đồ ngũ kim trong các cửa hàng chuyên doanh
576					47522	Bán lẻ sơn, màu, véc ni trong các cửa hàng chuyên doanh
577					47523	Bán lẻ kính xây dựng trong các cửa hàng chuyên doanh
578					47524	Bán lẻ xi măng, gạch xây, ngói, đá, cát sỏi, sắt thép và vật liệu xây dựng khác trong các cửa hàng chuyên doanh
579					47525	Bán lẻ gạch ốp lát, thiết bị vệ sinh trong các cửa hàng chuyên doanh
580					47529	Bán lẻ thiết bị lắp đặt khác trong xây dựng trong các cửa hàng chuyên doanh
581				4753	47530	Bán lẻ thảm, đệm, chăn, màn, rèm, vật liệu phủ tường và sàn trong các cửa hàng chuyên doanh
582				4759		Bán lẻ đồ điện gia dụng, giường, tủ, bàn, ghế và đồ nội thất tương tự, đèn và bộ đèn điện, đồ dùng gia đình khác chưa được phân vào đâu trong các cửa hàng chuyên doanh
583					47591	Bán lẻ đồ điện gia dụng, đèn và bộ đèn điện trong các cửa hàng chuyên doanh
584					47592	Bán lẻ giường, tủ, bàn, ghế và đồ dùng nội thất tương tự trong các cửa hàng chuyên doanh
585					47593	Bán lẻ đồ dùng gia đình bằng gốm, sứ, thủy tinh trong các cửa hàng chuyên doanh
586					47594	Bán lẻ nhạc cụ trong các cửa hàng chuyên doanh
587					47599	Bán lẻ đồ dùng gia đình khác còn lại chưa được phân vào đâu trong các cửa hàng chuyên doanh
588			476			Bán lẻ hàng văn hóa, giải trí trong các cửa hàng chuyên doanh
589				4761	47610	Bán lẻ sách, báo, tạp chí văn phòng phẩm trong các cửa hàng chuyên doanh
590				4762	47620	Bán lẻ băng đĩa âm thanh, hình ảnh (kể cả băng, đĩa trắng) trong các cửa hàng chuyên doanh
591				4763	47630	Bán lẻ thiết bị, dụng cụ thể dục, thể thao trong các cửa hàng chuyên doanh
592				4764	47640	Bán lẻ trò chơi, đồ chơi trong các cửa hàng chuyên doanh
593			477			Bán lẻ hàng hóa khác trong các cửa hàng chuyên doanh
594				4771		Bán lẻ hàng may mặc, giày dép, hàng da và giả da trong các cửa hàng chuyên doanh
595					47711	Bán lẻ hàng may mặc trong các cửa hàng chuyên doanh
596					47712	Bán lẻ giày dép trong các cửa hàng chuyên doanh
597					47713	Bán lẻ cặp, túi, ví, hàng da và giả da khác trong các cửa hàng chuyên doanh
598				4772		Bán lẻ thuốc, dụng cụ y tế, mỹ phẩm và vật phẩm vệ sinh trong các cửa hàng chuyên doanh
599					47721	Bán lẻ dược phẩm, dụng cụ y tế trong các cửa hàng chuyên doanh
600					47722	Bán lẻ nước hoa, mỹ phẩm và vật phẩm vệ sinh trong các cửa hàng chuyên doanh
601					47723	Bán thuốc đông y, bán thuốc nam trong các cửa hàng chuyên doanh
602				4773		Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh
603					47731	Bán lẻ hoa, cây cảnh, cá cảnh, chim cảnh, vật nuôi cảnh trong các cửa hàng chuyên doanh
604					47732	Bán lẻ vàng, bạc, đá quí và đá bán quí, đồ trang sức trong các cửa hàng chuyên doanh
605					47733	Bán lẻ hàng lưu niệm, hàng đan lát, hàng thủ công mỹ nghệ trong các cửa hàng chuyên doanh
606					47734	Bán lẻ tranh, ảnh và các tác phẩm nghệ thuật khác (trừ đồ cổ) trong các cửa hàng chuyên doanh
607					47735	Bán lẻ dầu hoả, gas, than nhiên liệu dùng cho gia đình trong các cửa hàng chuyên doanh
608					47736	Bán lẻ đồng hồ, kính mắt trong các cửa hàng chuyên doanh
609					47737	Bán lẻ máy ảnh, phim ảnh và vật liệu ảnh trong các cửa hàng chuyên doanh
610					47738	Bán lẻ xe đạp và phụ tùng trong các cửa hàng chuyên doanh
611					47739	Bán lẻ hàng hóa khác mới chưa được phân vào đâu trong các cửa hàng chuyên doanh
612				4774		Bán lẻ hàng hóa đã qua sử dụng trong các cửa hàng chuyên doanh
613					47741	Bán lẻ hàng may mặc đã qua sử dụng trong các cửa hàng chuyên doanh
614					47749	Bán lẻ hàng hóa khác đã qua sử dụng trong các cửa hàng chuyên doanh
615			478			Bán lẻ lưu động hoặc bán tại chợ
616				4781		Bán lẻ lương thực, thực phẩm, đồ uống, thuốc lá, thuốc lào lưu động hoặc tại chợ
617					47811	Bán lẻ lương thực lưu động hoặc tại chợ
618					47812	Bán lẻ thực phẩm khô, thực phẩm công nghiệp, đường sữa bánh kẹo lưu động hoặc tại chợ
619					47813	Bán lẻ đồ uống lưu động hoặc tại chợ
620					47814	Bán lẻ sản phẩm thuốc lá, thuốc lào lưu động hoặc tại chợ
621					47815	Bán lẻ thịt gia súc, gia cầm tươi sống, đông lạnh lưu động hoặc tại chợ
622					47816	Bán lẻ thủy sản tươi sống, đông lạnh lưu động hoặc tại chợ
623					47817	Bán lẻ rau quả lưu động hoặc tại chợ
624					47818	Bán lẻ thực phẩm chín lưu động hoặc tại chợ
625					47819	Bán lẻ thực phẩm loại khác chưa được phân vào đâu
626				4782		Bán lẻ hàng dệt, may sẵn, giày dép lưu động hoặc tại chợ
627					47821	Bán lẻ hàng dệt lưu động hoặc tại chợ
628					47822	Bán lẻ hàng may mặc lưu động hoặc tại chợ
629					47823	Bán lẻ giày dép lưu động hoặc tại chợ
630				4783	47830	Bán lẻ thiết bị công nghệ thông tin liên lạc lưu động hoặc tại chợ
631				4784		Bán lẻ thiết bị gia đình khác lưu động hoặc tại chợ
632					47841	Bán lẻ đồ ngũ kim, sơn, kính và thiết bị lắp đặt khác trong xây dựng lưu động hoặc tại chợ
633					47842	Bán lẻ thảm, đệm, chăn, màn, rèm, vật liệu phủ tường và sàn lưu động hoặc tại chợ
634					47843	Bán lẻ đồ điện gia dụng, giường, tủ, bàn, ghế và đồ nội thất tương tự, đèn và bộ đèn điện, đồ dùng gia đình khác chưa được phân vào đâu lưu động hoặc tại chợ
635				4785	47850	Bán lẻ hàng văn hóa, giải trí lưu động hoặc tại chợ
636				4789		Bán lẻ hàng hóa khác lưu động hoặc tại chợ
637					47891	Bán lẻ mỹ phẩm và vật phẩm vệ sinh lưu động hoặc tại chợ
638					47892	Bán lẻ hàng gốm sứ, thủy tinh lưu động hoặc tại chợ
639					47893	Bán lẻ hoa tươi, cây cảnh lưu động hoặc tại chợ
640					47894	Bán lẻ vàng, bạc, đá quí và đá bán quí, đồ trang sức lưu động hoặc tại chợ
641					47895	Bán lẻ hàng lưu niệm, hàng đan lát, hàng thủ công mỹ nghệ lưu động hoặc tại chợ
642					47896	Bán lẻ đồng hồ, kính mắt lưu động hoặc tại chợ
643					47897	Bán lẻ xe đạp và phụ tùng lưu động hoặc tại chợ
644					47898	Bán lẻ hàng hóa đã qua sử dụng lưu động hoặc tại chợ
645					47899	Bán lẻ hàng hóa khác chưa được phân vào đâu, lưu động hoặc tại chợ
646			479			Bán lẻ hình thức khác (trừ bán lẻ tại cửa hàng, lưu động hoặc tại chợ)
647				4791	47910	Bán lẻ theo yêu cầu đặt hàng qua bưu điện hoặc internet
648				4799	47990	Bán lẻ hình thức khác chưa được phân vào đâu
649	H					VẬN TẢI KHO BÃI
650		49				Vận tải đường sắt, đường bộ và vận tải đường ống
651			491			Vận tải đường sắt
652				4911	49110	Vận tải hành khách đường sắt
653				4912	49120	Vận tải hàng hóa đường sắt
654			492			Vận tải hành khách bằng xe buýt
655				4921	49210	Vận tải hành khách bằng xe buýt trong nội thành
656				4922	49220	Vận tải hành khách bằng xe buýt giữa nội thành và ngoại thành, liên tỉnh
657				4929	49290	Vận tải hành khách bằng xe buýt loại khác
658			493			Vận tải đường bộ khác
659				4931		Vận tải hành khách đường bộ trong nội thành, ngoại thành (trừ vận tải bằng xe buýt)
660					49311	Vận tải hành khách bằng hệ thống đường sắt ngầm hoặc đường sắt trên cao
661					49312	Vận tải hành khách bằng taxi
662					49313	Vận tải hành khách bằng mô tô, xe máy và xe có động cơ khác
663					49319	Vận tải hành khách đường bộ loại khác trong nội thành, ngoại thành (trừ xe buýt)
664				4932		Vận tải hành khách đường bộ khác
665					49321	Vận tải hành khách bằng xe khách nội tỉnh, liên tỉnh
666					49329	Vận tải hành khách đường bộ khác chưa được phân vào đâu
667				4933		Vận tải hàng hóa bằng đường bộ
668					49331	Vận tải hàng hóa bằng ô tô chuyên dụng
669					49332	Vận tải hàng hóa bằng ô tô loại khác (trừ ô tô chuyên dụng)
670					49333	Vận tải hàng hóa bằng xe có động cơ loại khác
671					49334	Vận tải hàng hóa bằng xe thô sơ
672					49339	Vận tải hàng hóa bằng phương tiện đường bộ khác
673			494	4940	49400	Vận tải đường ống
674		50				Vận tải đường thủy
675			501			Vận tải ven biển và viễn dương
676				5011		Vận tải hành khách ven biển và viễn dương
677					50111	Vận tải hành khách ven biển
678					50112	Vận tải hành khách viễn dương
679				5012		Vận tải hàng hóa ven biển và viễn dương
680					50121	Vận tải hàng hóa ven biển
681					50122	Vận tải hàng hóa viễn dương
682			502			Vận tải đường thuỷ nội địa
683				5021		Vận tải hành khách đường thuỷ nội địa
684					50211	Vận tải hành khách đường thuỷ nội địa bằng phương tiện cơ giới
685					50212	Vận tải hành khách đường thuỷ nội địa bằng phương tiện thô sơ
686				5022		Vận tải hàng hóa đường thuỷ nội địa
687					50221	Vận tải hàng hóa đường thuỷ nội địa bằng phương tiện cơ giới
688					50222	Vận tải hàng hóa đường thuỷ nội địa bằng phương tiện thô sơ
689		51				Vận tải hàng không
690			511	5110		Vận tải hành khách hàng không
691					51101	Vận tải hành khách hàng không theo tuyến và lịch trình cố định
692					51109	Vận tải hành khách hàng không loại khác
693			512	5120		Vận tải hàng hóa hàng không
694					51201	Vận tải hàng hóa hàng không theo tuyến và lịch trình cố định
695					51209	Vận tải hàng hóa hàng không loại khác
696		52				Kho bãi và các hoạt động hỗ trợ cho vận tải
697			521	5210		Kho bãi và lưu giữ hàng hóa
698					52101	Kho bãi và lưu giữ hàng hóa trong kho ngoại quan
699					52102	Kho bãi và lưu giữ hàng hóa trong kho đông lạnh (trừ kho ngoại quan)
700					52109	Kho bãi và lưu giữ hàng hóa trong kho loại khác
701			522			Hoạt động dịch vụ hỗ trợ cho vận tải
702				5221	52210	Hoạt động dịch vụ hỗ trợ trực tiếp cho vận tải đường sắt
703				5222		Hoạt động dịch vụ hỗ trợ trực tiếp cho vận tải đường thủy
704					52221	Hoạt động điều hành cảng biển
705					52222	Hoạt động dịch vụ hỗ trợ liên quan đến vận tải ven biển và viễn dương
706					52223	Hoạt động điều hành cảng đường thủy nội địa
707					52224	Hoạt động dịch vụ hỗ trợ liên quan đến vận tải đường thủy nội địa
708				5223		Hoạt động dịch vụ hỗ trợ trực tiếp cho vận tải hàng không
709					52231	Dịch vụ điều hành bay
710					52232	Dịch vụ điều hành hoạt động cảng hàng không
711					52239	Hoạt động dịch vụ hỗ trợ liên quan đến vận tải hàng không
712				5224		Bốc xếp hàng hóa
713					52241	Bốc xếp hàng hóa ga đường sắt
714					52242	Bốc xếp hàng hóa đường bộ
715					52243	Bốc xếp hàng hóa cảng biển
716					52244	Bốc xếp hàng hóa cảng sông
717					52245	Bốc xếp hàng hóa cảng hàng không
718					52249	Bốc xếp hàng hóa loại khác
719				5225		Hoạt động dịch vụ hỗ trợ trực tiếp cho vận tải đường bộ
720					52251	Hoạt động điều hành bến xe
721					52252	Hoạt động quản lý, điều hành đường cao tốc, cầu, hầm đường bộ
722					52253	Hoạt động quản lý bãi đỗ, trông giữ phương tiện đường bộ
723					52259	Hoạt động dịch vụ khác hỗ trợ liên quan đến vận tải đường bộ
724				5229		Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải
725					52291	Dịch vụ đại lý, giao nhận vận chuyển
726					52292	Logistics
727					52299	Dịch vụ hỗ trợ khác liên quan đến vận tải chưa được phân vào đâu
728		53				Bưu chính và chuyển phát
729			531	5310	53100	Bưu chính
730			532	5320	53200	Chuyển phát
731	I					DỊCH VỤ LƯU TRÚ VÀ ĂN UỐNG
732		55				Dịch vụ lưu trú
733			551	5510		Dịch vụ lưu trú ngắn ngày
734					55101	Khách sạn
735					55102	Biệt thự hoặc căn hộ kinh doanh dịch vụ lưu trú ngắn ngày
736					55103	Nhà khách, nhà nghỉ kinh doanh dịch vụ lưu trú ngắn ngày
737					55104	Nhà trọ, phòng trọ và các cơ sở lưu trú ngắn ngày tương tự
738			559	5590		Cơ sở lưu trú khác
739					55901	Ký túc xá học sinh, sinh viên
740					55902	Chỗ nghỉ trọ trên xe lưu động, lều quán, trại dùng để nghỉ tạm
741					55909	Cơ sở lưu trú khác chưa được phân vào đâu
742		56				Dịch vụ ăn uống
743			561	5610		Nhà hàng và các dịch vụ ăn uống phục vụ lưu động
744					56101	Nhà hàng, quán ăn, hàng ăn uống (trừ cửa hàng ăn uống thuộc chuỗi cửa hàng ăn nhanh)
745					56102	Cửa hàng ăn uống thuộc chuỗi cửa hàng ăn nhanh
746					56109	Dịch vụ ăn uống phục vụ lưu động khác
747			562			Cung cấp dịch vụ ăn uống theo hợp đồng không thường xuyên và dịch vụ ăn uống khác
748				5621	56210	Cung cấp dịch vụ ăn uống theo hợp đồng không thường xuyên với khách hàng
749				5629	56290	Dịch vụ ăn uống khác
750			563	5630		Dịch vụ phục vụ đồ uống
751					56301	Quán rượu, bia, quầy bar
752					56302	Quán cà phê, giải khát
753					56309	Dịch vụ phục vụ đồ uống khác
754	J					THÔNG TIN VÀ TRUYỀN THÔNG
755		58				Hoạt động xuất bản
756			581			Xuất bản sách, ấn phẩm định kỳ và các hoạt động xuất bản khác
757				5811		Xuất bản sách
758					58111	Xuất bản sách trực tuyến
759					58112	Xuất bản sách khác
760				5812		Xuất bản các danh mục chỉ dẫn và địa chỉ
761					58121	Xuất bản các danh mục chỉ dẫn và địa chỉ trực tuyến
762					58122	Xuất bản các danh mục chỉ dẫn và địa chỉ khác
763				5813		Xuất bản báo, tạp chí và các ấn phẩm định kỳ
764					58131	Xuất bản báo, tạp chí và các ấn phẩm định kỳ trực tuyến
765					58132	Xuất bản báo, tạp chí và các ấn phẩm định kỳ khác
766				5819		Hoạt động xuất bản khác
767					58191	Hoạt động xuất bản trực tuyến khác
768					58192	Hoạt động xuất bản khác
769			582	5820	58200	Xuất bản phần mềm
770		59				Hoạt động điện ảnh, sản xuất chương trình truyền hình, ghi âm và xuất bản âm nhạc
771			591			Hoạt động điện ảnh và sản xuất chương trình truyền hình
772				5911		Hoạt động sản xuất phim điện ảnh, phim video và chương trình truyền hình
773					59111	Hoạt động sản xuất phim điện ảnh
774					59112	Hoạt động sản xuất phim video
775					59113	Hoạt động sản xuất chương trình truyền hình
776				5912	59120	Hoạt động hậu kỳ
777				5913	59130	Hoạt động phát hành phim điện ảnh, phim video và chương trình truyền hình
778				5914		Hoạt động chiếu phim
779					59141	Hoạt động chiếu phim cố định
780					59142	Hoạt động chiếu phim lưu động
781			592	5920	59200	Hoạt động ghi âm và xuất bản âm nhạc
782		60				Hoạt động phát thanh, truyền hình
783			601	6010	60100	Hoạt động phát thanh
784			602			Hoạt động truyền hình và cung cấp chương trình thuê bao
785				6021	60210	Hoạt động truyền hình
786				6022	60220	Chương trình cáp, vệ tinh và các chương trình thuê bao khác
787		61				Viễn thông
788			611	6110		Hoạt động viễn thông có dây
789					61101	Hoạt động cung cấp trực tiếp dịch vụ viễn thông có dây
790					61102	Hoạt động cung cấp dịch vụ viễn thông có dây sử dụng quyền truy cập hạ tầng viễn thông của đơn vị khác
791			612	6120		Hoạt động viễn thông không dây
792					61201	Hoạt động cung cấp trực tiếp dịch vụ viễn thông không dây
793					61202	Hoạt động cung cấp dịch vụ viễn thông không dây sử dụng quyền truy cập hạ tầng viễn thông của đơn vị khác
794			613	6130	61300	Hoạt động viễn thông vệ tinh
795			619	6190		Hoạt động viễn thông khác
796					61901	Hoạt động của các điểm truy cập internet
797					61909	Hoạt động viễn thông khác chưa được phân vào đâu
798		62	620			Lập trình máy vi tính, dịch vụ tư vấn và các hoạt động khác liên quan đến máy vi tính
799				6201	62010	Lập trình máy vi tính
800				6202	62020	Tư vấn máy vi tính và quản trị hệ thống máy vi tính
801				6209	62090	Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy vi tính
802		63				Hoạt động dịch vụ thông tin
803			631			Xử lý dữ liệu, cho thuê và các hoạt động liên quan; cổng thông tin
804				6311	63110	Xử lý dữ liệu, cho thuê và các hoạt động liên quan
805				6312	63120	Cổng thông tin
806			639			Dịch vụ thông tin khác
807				6391	63910	Hoạt động thông tấn
808				6399	63990	Dịch vụ thông tin khác chưa được phân vào đâu
809	K					HOẠT ĐỘNG TÀI CHÍNH, NGÂN HÀNG VÀ BẢO HIỂM
810		64				Hoạt động dịch vụ tài chính (trừ bảo hiểm và bảo hiểm xã hội)
811			641			Hoạt động trung gian tiền tệ
812				6411	64110	Hoạt động ngân hàng trung ương
813				6419	64190	Hoạt động trung gian tiền tệ khác
814			642	6420	64200	Hoạt động công ty nắm giữ tài sản
815			643	6430	64300	Hoạt động quỹ tín thác, các quỹ và các tổ chức tài chính khác
816			649			Hoạt động dịch vụ tài chính khác (trừ bảo hiểm và bảo hiểm xã hội)
817				6491	64910	Hoạt động cho thuê tài chính
818				6492	64920	Hoạt động cấp tín dụng khác
819				6499	64990	Hoạt động dịch vụ tài chính khác chưa được phân vào đâu (trừ bảo hiểm và bảo hiểm xã hội)
820		65				Bảo hiểm, tái bảo hiểm và bảo hiểm xã hội (trừ bảo đảm xã hội bắt buộc)
821			651			Bảo hiểm
822				6511	65110	Bảo hiểm nhân thọ
823				6512	65120	Bảo hiểm phi nhân thọ
824				6513		Bảo hiểm sức khỏe
825					65131	Bảo hiểm y tế
826					65139	Bảo hiểm sức khỏe khác
827			652	6520	65200	Tái bảo hiểm
828			653	6530	65300	Bảo hiểm xã hội
829		66				Hoạt động tài chính khác
830			661			Hoạt động hỗ trợ dịch vụ tài chính (trừ bảo hiểm và bảo hiểm xã hội)
831				6611	66110	Quản lý thị trường tài chính
832				6612	66120	Môi giới hợp đồng hàng hoá và chứng khoán
833				6619	66190	Hoạt động hỗ trợ dịch vụ tài chính chưa được phân vào đâu
834			662			Hoạt động hỗ trợ bảo hiểm và bảo hiểm xã hội
835				6621	66210	Đánh giá rủi ro và thiệt hại
836				6622	66220	Hoạt động của đại lý và môi giới bảo hiểm
837				6629	66290	Hoạt động hỗ trợ khác cho bảo hiểm và bảo hiểm xã hội
838			663	6630	66300	Hoạt động quản lý quỹ
839	L					HOẠT ĐỘNG KINH DOANH BẤT ĐỘNG SẢN
840		68				Hoạt động kinh doanh bất động sản
841			681	6810		Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê
842					68101	Mua, bán nhà ở và quyền sử dụng đất ở
843					68102	Mua, bán nhà và quyền sử dụng đất không để ở
844					68103	Cho thuê, điều hành, quản lý nhà và đất ở
845					68104	Cho thuê, điều hành, quản lý nhà và đất không để ở
846					68109	Kinh doanh bất động sản khác
847			682	6820		Tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất
848					68201	Tư vấn, môi giới bất động sản, quyền sử dụng đất
849					68202	Đấu giá bất động sản, quyền sử dụng đất
850	M					HOẠT ĐỘNG CHUYÊN MÔN, KHOA HỌC VÀ CÔNG NGHỆ
851		69				Hoạt động pháp luật, kế toán và kiểm toán
852			691	6910		Hoạt động pháp luật
853					69101	Hoạt động đại diện, tư vấn pháp luật
854					69102	Hướng dẫn chung và tư vấn, chuẩn bị các tài liệu pháp lý
855					69109	Hoạt động pháp luật khác
856			692	6920	69200	Hoạt động liên quan đến kế toán, kiểm toán và tư vấn về thuế
857		70				Hoạt động của trụ sở văn phòng; hoạt động tư vấn quản lý
858			701	7010	70100	Hoạt động của trụ sở văn phòng
859			702	7020	70200	Hoạt động tư vấn quản lý
860		71				Hoạt động kiến trúc; kiểm tra và phân tích kỹ thuật
861			711	7110		Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan
862					71101	Hoạt động kiến trúc
863					71102	Hoạt động đo đạc và bản đồ
864					71103	Hoạt động thăm dò địa chất, nguồn nước
865					71109	Hoạt động tư vấn kỹ thuật có liên quan khác
866			712	7120	71200	Kiểm tra và phân tích kỹ thuật
867		72				Nghiên cứu khoa học và phát triển công nghệ
868			721			Nghiên cứu khoa học và phát triển công nghệ trong lĩnh vực khoa học tự nhiên và kỹ thuật
869				7211	72110	Nghiên cứu khoa học và phát triển công nghệ trong lĩnh vực khoa học tự nhiên
870				7212	72120	Nghiên cứu khoa học và phát triển công nghệ trong lĩnh vực khoa học kỹ thuật và công nghệ
871				7213	72130	Nghiên cứu khoa học và phát triển công nghệ trong lĩnh vực khoa học y, dược
872				7214	72140	Nghiên cứu khoa học và phát triển công nghệ trong lĩnh vực khoa học nông nghiệp
873			722			Nghiên cứu khoa học và phát triển công nghệ trong lĩnh vực khoa học xã hội và nhân văn
874				7221	72210	Nghiên cứu khoa học và phát triển công nghệ trong lĩnh vực khoa học xã hội
875				7222	72220	Nghiên cứu khoa học và phát triển công nghệ trong lĩnh vực khoa học nhân văn
876		73				Quảng cáo và nghiên cứu thị trường
877			731	7310	73100	Quảng cáo
