	0	1	2	3	4	5
129					10201	Chế biến và bảo quản thủy sản đông lạnh
130					10202	Chế biến và bảo quản thủy sản khô
131					10203	Chế biến và bảo quản nước mắm
132					10209	Chế biến và bảo quản các sản phẩm khác từ thủy sản
133			103	1030		Chế biến và bảo quản rau quả
134					10301	Sản xuất nước ép từ rau quả
135					10309	Chế biến và bảo quản rau quả khác
136			104	1040		Sản xuất dầu, mỡ động, thực vật
137					10401	Sản xuất dầu, mỡ động vật
138					10402	Sản xuất dầu, bơ thực vật
139			105	1050	10500	Chế biến sữa và các sản phẩm từ sữa
140			106			Xay xát và sản xuất bột
141				1061		Xay xát và sản xuất bột thô
142					10611	Xay xát
143					10612	Sản xuất bột thô
144				1062	10620	Sản xuất tinh bột và các sản phẩm từ tinh bột
145			107			Sản xuất thực phẩm khác
146				1071	10710	Sản xuất các loại bánh từ bột
147				1072	10720	Sản xuất đường
148				1073	10730	Sản xuất ca cao, sôcôla và bánh kẹo
149				1074	10740	Sản xuất mì ống, mỳ sợi và sản phẩm tương tự
150				1075		Sản xuất món ăn, thức ăn chế biến sẵn
151					10751	Sản xuất món ăn, thức ăn chế biến sẵn từ thịt
152					10752	Sản xuất món ăn, thức ăn chế biến sẵn từ thủy sản
153					10759	Sản xuất món ăn, thức ăn chế biến sẵn khác
154				1076	10760	Sản xuất chè
155				1077	10770	Sản xuất cà phê
156				1079	10790	Sản xuất thực phẩm khác chưa được phân vào đâu
157			108	1080	10800	Sản xuất thức ăn gia súc, gia cầm và thuỷ sản
158		11	110			Sản xuất đồ uống
159				1101	11010	Chưng, tinh cất và pha chế các loại rượu mạnh
160				1102	11020	Sản xuất rượu vang
161				1103	11030	Sản xuất bia và mạch nha ủ men bia
162				1104		Sản xuất đồ uống không cồn, nước khoáng
163					11041	Sản xuất nước khoáng, nước tinh khiết đóng chai
164					11042	Sản xuất đồ uống không cồn
165		12	120	1200		Sản xuất sản phẩm thuốc lá
166					12001	Sản xuất thuốc lá
167					12009	Sản xuất thuốc hút khác
168		13				Dệt
169			131			Sản xuất sợi, vải dệt thoi và hoàn thiện sản phẩm dệt
170				1311	13110	Sản xuất sợi
171				1312	13120	Sản xuất vải dệt thoi
172				1313	13130	Hoàn thiện sản phẩm dệt
173			139			Sản xuất hàng dệt khác
174				1391	13910	Sản xuất vải dệt kim, vải đan móc và vải không dệt khác
175				1392	13920	Sản xuất hàng dệt sẵn (trừ trang phục)
176				1393	13930	Sản xuất thảm, chăn, đệm
177				1394	13940	Sản xuất các loại dây bện và lưới
178				1399	13990	Sản xuất các loại hàng dệt khác chưa được phân vào đâu
179		14				Sản xuất trang phục
180			141	1410	14100	May trang phục (trừ trang phục từ da lông thú)
181			142	1420	14200	Sản xuất sản phẩm từ da lông thú
182			143	1430	14300	Sản xuất trang phục dệt kim, đan móc
183		15				Sản xuất da và các sản phẩm có liên quan
184			151			Thuộc, sơ chế da; sản xuất va li, túi xách, yên đệm; sơ chế và nhuộm da lông thú
185				1511	15110	Thuộc, sơ chế da; sơ chế và nhuộm da lông thú
186				1512	15120	Sản xuất vali, túi xách và các loại tương tự, sản xuất yên đệm
187			152	1520	15200	Sản xuất giày, dép
188		16				Chế biến gỗ và sản xuất sản phẩm từ gỗ, tre, nứa (trừ giường, tủ, bàn, ghế); sản xuất sản phẩm từ rơm, rạ và vật liệu tết bện
189			161	1610		Cưa, xẻ, bào gỗ và bảo quản gỗ
190					16101	Cưa, xẻ và bào gỗ
191					16102	Bảo quản gỗ
192			162			Sản xuất sản phẩm từ gỗ, tre, nứa (trừ giường, tủ, bàn, ghế); sản xuất sản phẩm từ rơm, rạ và vật liệu tết bện
193				1621	16210	Sản xuất gỗ dán, gỗ lạng, ván ép và ván mỏng khác
194				1622	16220	Sản xuất đồ gỗ xây dựng
195				1623	16230	Sản xuất bao bì bằng gỗ
196				1629		Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rơm, rạ và vật liệu tết bện
197					16291	Sản xuất sản phẩm khác từ gỗ
198					16292	Sản xuất sản phẩm từ lâm sản (trừ gỗ), cói và vật liệu tết bện
199		17	170			Sản xuất giấy và sản phẩm từ giấy
200				1701	17010	Sản xuất bột giấy, giấy và bìa
201				1702		Sản xuất giấy nhăn, bìa nhăn, bao bì từ giấy và bìa
202					17021	Sản xuất bao bì bằng giấy, bìa
203					17022	Sản xuất giấy nhăn và bìa nhăn
204				1709	17090	Sản xuất các sản phẩm khác từ giấy và bìa chưa được phân vào đâu
205		18				In, sao chép bản ghi các loại
206			181			In ấn và dịch vụ liên quan đến in
207				1811	18110	In ấn
208				1812	18120	Dịch vụ liên quan đến in
209			182	1820	18200	Sao chép bản ghi các loại
210		19				Sản xuất than cốc, sản phẩm dầu mỏ tinh chế
211			191	1910	19100	Sản xuất than cốc
212			192	1920	19200	Sản xuất sản phẩm dầu mỏ tinh chế
213		20				Sản xuất hoá chất và sản phẩm hoá chất
214			201			Sản xuất hoá chất cơ bản, phân bón và hợp chất ni tơ; sản xuất plastic và cao su tổng hợp dạng nguyên sinh
215				2011		Sản xuất hoá chất cơ bản
216					20111	Sản xuất khí công nghiệp
217					20112	Sản xuất chất nhuộm và chất màu
218					20113	Sản xuất hóa chất vô cơ cơ bản khác
219					20114	Sản xuất hoá chất hữu cơ cơ bản khác
220					20119	Sản xuất hóa chất cơ bản khác
221				2012	20120	Sản xuất phân bón và hợp chất ni tơ
222				2013		Sản xuất plastic và cao su tổng hợp dạng nguyên sinh
223					20131	Sản xuất plastic nguyên sinh
224					20132	Sản xuất cao su tổng hợp dạng nguyên sinh
225			202			Sản xuất sản phẩm hoá chất khác
226				2021	20210	Sản xuất thuốc trừ sâu và sản phẩm hoá chất khác dùng trong nông nghiệp
227				2022		Sản xuất sơn, véc ni và các chất sơn, quét tương tự; sản xuất mực in và ma tít
228					20221	Sản xuất sơn, véc ni và các chất sơn, quét tương tự, ma tít
229					20222	Sản xuất mực in
230				2023		Sản xuất mỹ phẩm, xà phòng, chất tẩy rửa, làm bóng và chế phẩm vệ sinh
231					20231	Sản xuất mỹ phẩm
232					20232	Sản xuất xà phòng, chất tẩy rửa, làm bóng và chế phẩm vệ sinh
233				2029	20290	Sản xuất sản phẩm hoá chất khác chưa được phân vào đâu
234			203	2030	20300	Sản xuất sợi nhân tạo
235		21				Sản xuất thuốc, hoá dược và dược liệu
236			210	2100		Sản xuất thuốc, hoá dược và dược liệu
237					21001	Sản xuất thuốc các loại
238					21002	Sản xuất hoá dược và dược liệu
239		22				Sản xuất sản phẩm từ cao su và plastic
240			221			Sản xuất sản phẩm từ cao su
241				2211	22110	Sản xuất săm, lốp cao su; đắp và tái chế lốp cao su
242				2219	22190	Sản xuất sản phẩm khác từ cao su
243			222	2220		Sản xuất sản phẩm từ plastic
244					22201	Sản xuất bao bì từ plastic
245					22209	Sản xuất sản phẩm khác từ plastic
246		23				Sản xuất sản phẩm từ khoáng phi kim loại khác
